language_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CSS,1,20,27,61,105,239,330,314,87,34
JavaScript,7,35,65,136,254,652,1065,1116,206,83
Shell,3,53,36,80,137,250,368,376,163,82
HTML,4,35,29,70,98,178,319,426,122,56
PostScript,0,1,0,0,0,0,2,4,0,0
CoffeeScript,1,1,1,5,14,118,56,29,2,0
Ruby,38,41,41,62,78,101,103,151,28,10
null,1,26,17,36,37,74,259,73,37,12
ApacheConf,0,3,5,0,0,2,6,11,0,0
Python,0,24,23,71,78,145,208,257,100,88
PowerShell,0,3,1,2,3,7,23,57,4,2
Makefile,1,14,13,28,36,57,150,211,76,36
ActionScript,0,1,1,4,1,0,3,2,1,0
C,0,11,9,14,26,42,114,170,46,30
PHP,1,7,7,8,16,26,51,59,15,2
Erlang,0,1,1,0,1,1,26,4,1,0
LiveScript,0,0,0,0,1,1,4,0,0,0
Perl,0,10,6,6,9,15,26,29,8,6
Rust,0,1,0,1,0,2,4,10,7,5
R,0,0,1,1,3,2,11,11,3,4
Java,0,43,19,77,82,159,205,230,66,44
Scala,0,1,7,7,11,10,20,11,6,2
Thrift,0,4,1,4,8,5,10,8,3,0
Mako,0,1,0,1,0,2,5,6,1,0
FreeMarker,0,2,1,3,3,4,3,5,2,0
Batchfile,0,22,8,14,29,21,49,108,17,4
XSLT,0,16,7,12,10,16,20,13,1,0
Jupyter Notebook,0,0,0,0,0,1,2,7,5,6
Kotlin,0,0,0,0,1,4,3,5,3,10
Objective-C,0,3,2,7,13,35,50,106,26,12
Protocol Buffer,0,3,0,2,3,6,20,34,16,16
Groovy,0,8,3,8,14,23,33,32,6,0
Cucumber,0,0,0,0,1,1,3,4,0,0
Groff,0,0,0,1,2,1,2,9,0,0
Dart,0,1,0,0,0,16,17,17,9,5
Haskell,0,4,2,0,1,3,9,3,4,1
Clojure,0,0,0,0,2,5,17,13,0,0
HCL,0,0,0,0,0,1,4,6,1,1
ASP,0,1,2,4,5,3,2,9,1,0
Assembly,0,0,1,1,3,6,20,20,3,3
Awk,0,0,0,1,2,3,6,7,2,1
C++,0,9,5,13,21,61,103,173,52,35
Scilab,0,0,0,0,1,2,2,1,0,0
TeX,0,2,2,0,0,4,4,5,1,4
UnrealScript,0,0,0,1,0,2,2,0,0,0
VimL,0,1,0,0,2,3,2,5,1,0
CMake,0,2,0,0,5,6,31,47,17,19
Go,0,2,1,2,3,26,78,124,62,42
Lex,0,2,0,1,1,2,4,9,3,1
Visual Basic,0,1,0,1,2,0,3,16,0,0
DTrace,0,0,0,0,1,1,0,4,0,0
GAP,0,4,0,2,3,1,5,6,1,0
Lua,0,2,1,1,3,1,7,32,5,0
M4,0,4,2,1,5,7,13,10,6,2
Pascal,0,1,0,0,1,0,5,4,1,0
Yacc,1,1,0,2,0,4,8,11,4,0
PLSQL,0,0,0,1,2,2,5,5,0,0
Roff,1,3,2,2,4,7,4,12,2,2
TypeScript,0,0,0,3,0,7,18,66,41,14
Gherkin,1,1,0,1,2,0,0,3,1,0
Tcl,0,2,0,1,0,1,3,5,0,0
Smarty,0,2,1,1,7,1,6,7,2,3
Puppet,0,0,0,2,9,10,6,2,2,0
RAML,0,0,0,0,0,0,1,0,0,0
Web Ontology Language,0,0,0,0,1,0,0,1,0,0
XS,0,1,1,0,0,1,1,1,0,0
Meson,0,0,0,0,0,0,0,1,1,0
Smalltalk,0,1,1,4,1,2,2,12,0,0
PigLatin,0,1,0,1,2,3,2,1,0,0
Apex,0,1,0,0,0,0,0,0,0,0
Elm,0,1,0,0,0,0,0,0,1,1
XQuery,0,1,0,0,0,0,1,1,0,0
AMPL,0,1,0,0,0,0,0,0,0,0
OpenEdge ABL,0,0,0,0,0,0,2,0,1,0
Clean,0,1,1,0,0,0,0,0,0,0
Prolog,0,2,1,1,0,2,3,5,1,1
Matlab,0,0,0,1,1,3,4,3,3,3
C#,0,2,6,6,7,25,27,101,12,4
QML,0,0,0,0,1,5,0,1,0,0
QMake,0,0,0,1,1,1,0,2,0,1
PLpgSQL,0,1,0,1,1,3,7,7,1,1
SourcePawn,0,0,0,1,0,2,3,3,2,0
SQLPL,0,0,0,1,1,2,5,7,1,0
NSIS,0,1,0,0,0,0,0,2,1,0
AGS Script,0,0,0,0,1,1,1,0,0,0
AngelScript,0,0,0,0,1,0,0,0,0,0
PureBasic,0,0,0,0,1,0,0,3,1,1
ANTLR,0,1,1,0,0,0,2,5,1,0
Crystal,0,0,0,0,0,0,0,0,0,0
Gnuplot,0,1,0,0,0,0,0,1,0,1
Scheme,0,0,1,0,0,1,1,0,0,0
Bro,0,0,0,0,0,0,0,0,0,0
Cuda,0,0,0,0,0,0,0,1,0,0
1C Enterprise,0,0,0,0,0,0,0,2,0,0
GDB,0,0,0,2,0,1,1,1,0,0
Inno Setup,0,0,0,0,0,0,0,2,1,0
LLVM,0,0,0,0,0,0,1,3,0,0
Perl 6,0,2,0,1,0,2,1,5,2,1
Vim script,1,2,0,2,0,4,2,11,2,0
XProc,0,1,0,0,0,0,0,0,0,0
DIGITAL Command Language,0,1,0,0,0,1,1,0,0,0
AspectJ,0,0,0,1,1,0,0,0,0,0
D,0,1,1,0,0,2,2,2,0,0
Emacs Lisp,1,2,4,0,1,2,5,15,2,0
Haxe,0,1,1,0,0,0,0,0,0,0
OCaml,0,1,1,0,0,1,3,4,0,0
Swift,0,1,0,0,0,1,12,39,9,7
Logos,0,1,0,2,1,0,2,3,1,0
Objective-C++,0,0,0,0,0,5,11,21,7,3
Elixir,0,0,0,0,0,2,0,4,1,0
E,0,0,0,0,0,1,0,0,0,0
Ragel in Ruby Host,0,0,0,0,0,2,0,1,0,0
Nginx,0,0,1,1,0,4,3,5,0,1
Handlebars,0,0,0,0,0,2,3,6,0,0
AppleScript,0,0,0,0,0,1,0,6,0,0
ABAP,0,0,0,0,0,0,1,0,0,0
AutoHotkey,0,0,0,0,0,0,1,0,0,0
ColdFusion,0,0,0,0,0,0,1,0,0,0
Common Lisp,0,0,1,0,0,1,1,1,1,0
DOT,0,0,0,0,0,1,1,0,0,0
Julia,0,0,0,0,0,0,1,0,0,0
Verilog,0,0,0,0,0,0,1,1,0,2
VHDL,0,0,0,0,0,0,1,0,0,0
Arduino,0,0,0,0,0,0,0,5,2,0
Io,1,0,0,0,0,0,0,0,0,0
Nix,0,0,0,0,0,0,1,1,1,0
F#,0,0,1,0,1,0,1,9,3,0
PAWN,0,0,0,0,0,0,0,3,0,0
Liquid,0,0,0,0,0,0,1,1,1,0
Perl6,0,0,0,0,1,2,0,4,0,0
GCC Machine Description,0,0,0,0,0,0,0,0,0,0
IDL,0,0,0,1,0,1,3,4,1,0
Hack,0,0,1,0,0,0,0,0,0,0
Standard ML,0,0,1,0,0,1,1,1,1,0
Ragel,0,1,0,0,0,0,1,0,0,0
POV-Ray SDL,0,0,0,0,0,0,0,0,0,0
Opa,0,0,1,0,0,0,0,0,0,0
Fortran,0,0,0,0,0,0,1,1,0,0
Limbo,0,0,0,0,0,0,1,0,0,0
NewLisp,0,0,0,0,0,0,0,0,1,0
GLSL,0,0,1,0,0,1,2,6,8,3
Bison,0,0,0,0,1,0,0,1,0,0
Brainfuck,0,0,0,0,0,0,0,1,0,0
Smali,0,0,0,0,0,0,0,1,0,0
Gosu,0,0,0,0,0,0,0,0,0,0
AutoIt,0,0,0,0,0,0,0,1,0,0
Idris,0,0,0,0,0,0,0,0,1,0
Processing,0,0,0,0,0,0,0,1,0,0
Mathematica,0,0,0,1,0,0,1,0,0,0
Lasso,0,0,0,0,0,0,1,0,0,0
Mercury,0,0,0,0,0,0,0,1,0,0
RenderScript,0,0,0,0,0,0,0,1,0,0
Max,0,0,0,0,1,0,1,0,0,0
Eagle,0,0,0,0,0,0,0,0,1,1
