language_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
JavaScript,0,0,0,0,0,1,10,58,9,0
Shell,0,0,0,0,0,0,9,33,3,0
HTML,0,0,0,0,0,0,8,43,8,0
CSS,0,0,0,0,0,0,7,30,4,0
Python,0,0,0,0,0,0,4,24,0,0
Java,0,0,0,0,1,1,5,23,4,0
Ruby,0,0,0,0,0,0,3,8,0,0
Makefile,0,0,0,0,0,0,0,26,1,0
null,0,0,0,0,0,0,1,7,1,0
C++,0,0,0,0,0,0,9,46,0,0
C,0,0,0,0,0,0,6,40,1,0
Go,0,0,0,0,0,0,0,8,1,0
Batchfile,0,0,0,0,0,0,8,54,4,0
Objective-C,0,0,0,0,0,0,4,20,1,0
CoffeeScript,0,0,0,0,0,0,0,3,0,0
PHP,0,0,0,0,0,0,3,18,0,0
C#,0,0,0,0,0,2,14,68,6,0
TypeScript,0,0,0,0,0,0,4,43,8,0
CMake,0,0,0,0,0,0,2,6,0,0
Groovy,0,0,0,0,0,0,4,9,0,0
Perl,0,0,0,0,0,0,1,6,0,0
PowerShell,0,0,0,0,0,0,9,37,1,0
Protocol Buffer,0,0,0,0,0,0,0,3,0,0
XSLT,0,0,0,0,1,0,0,1,0,0
Scala,0,0,0,0,0,0,0,0,0,0
Swift,0,0,0,0,0,0,0,2,0,0
Lua,0,0,0,0,0,0,0,4,0,0
Dart,0,0,0,0,0,0,0,0,0,0
Assembly,0,0,0,0,0,0,1,4,0,0
M4,0,0,0,0,0,0,0,0,0,0
Objective-C++,0,0,0,0,0,0,0,3,1,0
Thrift,0,0,0,0,0,0,0,1,0,0
Roff,0,0,0,0,0,0,0,2,0,0
R,0,0,0,0,0,0,0,6,1,0
Clojure,0,0,0,0,0,0,0,2,0,0
Erlang,0,0,0,0,0,0,0,0,0,0
Puppet,0,0,0,0,0,0,0,0,0,0
Smarty,0,0,0,0,0,0,0,2,0,0
Emacs Lisp,0,0,0,0,0,0,1,1,0,0
Yacc,0,0,0,0,0,0,0,1,0,0
Rust,0,0,0,0,0,0,0,2,0,0
ApacheConf,0,0,0,0,0,0,0,0,0,0
Haskell,0,0,0,0,0,0,1,1,0,0
Kotlin,0,0,0,0,0,0,0,0,0,0
ASP,0,0,0,0,0,0,0,6,0,0
Lex,0,0,0,0,0,0,0,1,0,0
Vim script,0,0,0,0,0,0,0,1,0,0
GAP,0,0,0,0,0,0,0,0,0,0
Smalltalk,0,0,0,0,0,0,0,9,0,0
PLpgSQL,0,0,0,0,0,0,0,1,0,0
Visual Basic,0,0,0,0,0,0,0,6,0,0
GLSL,0,0,0,0,0,0,0,1,0,0
Jupyter Notebook,0,0,0,0,0,0,0,2,0,0
TeX,0,0,0,0,0,0,0,1,1,0
Awk,0,0,0,0,0,0,0,1,0,0
FreeMarker,0,0,0,0,0,0,0,1,1,0
Mako,0,0,0,0,0,0,0,0,0,0
Matlab,0,0,0,0,0,0,1,2,0,0
SQLPL,0,0,0,0,0,0,1,1,0,0
PLSQL,0,0,0,0,0,0,0,1,0,0
Prolog,0,0,0,0,0,0,0,0,0,0
VimL,0,0,0,0,0,0,0,0,0,0
Groff,0,0,0,0,0,0,0,0,0,0
Perl 6,0,0,0,0,0,0,0,2,0,0
F#,0,0,0,0,0,0,0,6,3,0
Nginx,0,0,0,0,0,0,0,0,0,0
ActionScript,0,0,0,0,0,0,0,0,0,0
Pascal,0,0,0,0,0,0,0,1,0,0
Tcl,0,0,0,0,0,0,0,2,0,0
HCL,0,0,0,0,0,0,0,0,0,0
ANTLR,0,0,0,0,0,0,0,1,0,0
OCaml,0,0,0,0,0,0,0,0,0,0
SourcePawn,0,0,0,0,0,0,0,0,0,0
Gherkin,0,0,0,0,0,0,0,0,0,0
PigLatin,0,0,0,0,0,0,0,0,0,0
Handlebars,0,0,0,0,0,0,0,0,0,0
IDL,0,0,0,0,0,0,0,0,0,0
Cucumber,0,0,0,0,0,0,0,0,0,0
Logos,0,0,0,0,0,0,0,1,0,0
D,0,0,0,0,0,0,0,0,0,0
Arduino,0,0,0,0,0,0,0,0,0,0
HLSL,0,0,0,0,0,0,0,6,0,0
QML,0,0,0,0,0,0,0,1,0,0
LiveScript,0,0,0,0,0,0,0,0,0,0
Elixir,0,0,0,0,0,0,0,0,0,0
Perl6,0,0,0,0,0,0,0,0,0,0
Scilab,0,0,0,0,0,0,0,0,0,0
DTrace,0,0,0,0,0,0,0,0,0,0
AppleScript,0,0,0,0,0,0,0,2,0,0
PostScript,0,0,0,0,0,0,0,1,0,0
QMake,0,0,0,0,0,0,0,0,0,0
GDB,0,0,0,0,0,0,0,0,0,0
Vue,0,0,0,0,0,0,0,0,0,0
PureBasic,0,0,0,0,0,0,0,0,0,0
NSIS,0,0,0,0,0,0,0,0,0,0
UnrealScript,0,0,0,0,0,0,0,0,0,0
XML,0,0,0,0,0,0,0,0,0,0
Standard ML,0,0,0,0,0,0,0,0,0,0
Common Lisp,0,0,0,0,0,0,0,0,0,0
XS,0,0,0,0,0,0,0,0,0,0
Cuda,0,0,0,0,0,0,0,0,0,0
LLVM,0,0,0,0,0,0,0,0,0,0
OpenEdge ABL,0,0,0,0,0,0,0,0,0,0
Gnuplot,0,0,0,0,0,0,0,1,0,0
Verilog,0,0,0,0,0,0,0,1,0,0
ShaderLab,0,0,0,0,0,0,0,2,0,0
DIGITAL Command Language,0,0,0,0,0,0,0,0,0,0
Hack,0,0,0,0,0,0,0,0,0,0
Inno Setup,0,0,0,0,0,0,0,1,1,0
Scheme,0,0,0,0,0,0,0,0,0,0
AspectJ,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,1,0,0
XQuery,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0
Liquid,0,0,0,0,0,0,0,0,0,0
AGS Script,0,0,0,0,0,0,0,0,0,0
Nix,0,0,0,0,0,0,0,0,0,0
Elm,0,0,0,0,0,0,0,0,0,0
Ragel in Ruby Host,0,0,0,0,0,0,0,0,0,0
PAWN,0,0,0,0,0,0,0,0,0,0
Racket,0,0,0,0,0,0,0,0,0,0
Web Ontology Language,0,0,0,0,0,0,0,0,0,0
Fortran,0,0,0,0,0,0,0,0,0,0
Eagle,0,0,0,0,0,0,0,0,0,0
Meson,0,0,0,0,0,0,0,0,0,0
Mathematica,0,0,0,0,0,0,0,0,0,0
1C Enterprise,0,0,0,0,0,0,0,0,0,0
Bison,0,0,0,0,0,0,0,0,0,0
Ragel,0,0,0,0,0,0,0,0,0,0
Ada,0,0,0,0,0,0,0,0,0,0
Haxe,0,0,0,0,0,0,0,0,0,0
Max,0,0,0,0,0,0,0,0,0,0
Clean,0,0,0,0,0,0,0,0,0,0
VHDL,0,0,0,0,0,0,0,0,0,0
XProc,0,0,0,0,0,0,0,0,0,0
ABAP,0,0,0,0,0,0,0,0,0,0
Processing,0,0,0,0,0,0,0,0,0,0
Delphi,0,0,0,0,0,0,0,0,0,0
Io,0,0,0,0,0,0,0,0,0,0
xBase,0,0,0,0,0,0,0,0,1,0
Apex,0,0,0,0,0,0,0,0,0,0
AngelScript,0,0,0,0,0,0,0,0,0,0
ColdFusion,0,0,0,0,0,0,0,0,0,0
Lasso,0,0,0,0,0,0,0,0,0,0
FLUX,0,0,0,0,0,0,0,1,0,0
E,0,0,0,0,0,0,0,0,0,0
Brainfuck,0,0,0,0,0,0,0,0,0,0
SQL,0,0,0,0,0,0,0,0,0,0
POV-Ray SDL,0,0,0,0,0,0,0,0,0,0
RenderScript,0,0,0,0,0,0,0,0,0,0
CLIPS,0,0,0,0,0,0,0,0,0,0
Gosu,0,0,0,0,0,0,0,0,0,0
KiCad,0,0,0,0,0,0,0,0,0,0
Jasmin,0,0,0,0,0,0,0,0,0,0
SAS,0,0,0,0,0,0,0,0,0,0
GCC Machine Description,0,0,0,0,0,0,0,0,0,0
Idris,0,0,0,0,0,0,0,0,0,0
VCL,0,0,0,0,0,0,0,0,0,0
Terra,0,0,0,0,0,0,0,0,0,0
Bro,0,0,0,0,0,0,0,0,0,0
NewLisp,0,0,0,0,0,0,0,0,0,0
Coq,0,0,0,0,0,0,0,1,0,0
AutoHotkey,0,0,0,0,0,0,0,0,0,0
Harbour,0,0,0,0,0,0,0,0,0,0
Pure Data,0,0,0,0,0,0,0,0,0,0
Brightscript,0,0,0,0,0,0,0,0,0,0
Mercury,0,0,0,0,0,0,0,0,0,0
RAML,0,0,0,0,0,0,0,0,0,0
Smali,0,0,0,0,0,0,0,0,0,0
SaltStack,0,0,0,0,0,0,0,0,0,0
Diff,0,0,0,0,0,0,0,0,0,0
AMPL,0,0,0,0,0,0,0,0,0,0
Crystal,0,0,0,0,0,0,0,0,0,0
Julia,0,0,0,0,0,0,0,0,0,0
Opa,0,0,0,0,0,0,0,0,0,0
Module Management System,0,0,0,0,0,0,0,0,0,0
AutoIt,0,0,0,0,0,0,0,0,0,0
Mask,0,0,0,0,0,0,0,0,0,0
MAXScript,0,0,0,0,0,0,0,0,0,0
Limbo,0,0,0,0,0,0,0,0,0,0
WebAssembly,0,0,0,0,0,0,0,0,0,0

