language_name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
JavaScript,0,0,0,0,6,23,61,63,59,54
Shell,0,1,0,1,5,32,76,100,64,64
HTML,0,0,0,0,3,21,68,82,55,41
CSS,0,0,0,0,4,21,46,44,35,22
Python,0,1,0,0,1,28,78,108,59,76
Java,0,0,0,1,0,11,59,85,36,42
Ruby,0,1,0,0,3,5,10,20,8,9
Makefile,0,1,0,0,1,11,48,59,39,30
null,0,0,0,0,0,2,8,7,8,5
C++,0,1,0,0,1,14,43,63,39,33
C,0,1,0,0,0,15,40,60,34,28
Go,0,0,0,0,1,7,21,38,35,38
Batchfile,0,0,0,0,2,2,9,15,3,5
Objective-C,0,0,0,0,1,5,16,30,17,10
CoffeeScript,0,0,0,0,0,1,1,1,0,0
PHP,0,0,0,0,0,3,7,8,6,2
C#,0,0,0,0,0,0,4,16,4,4
TypeScript,0,0,0,0,0,1,3,4,4,7
CMake,0,0,0,0,0,5,13,22,14,19
Groovy,0,0,0,0,0,0,3,2,1,0
Perl,0,0,0,0,0,2,5,8,3,5
PowerShell,0,0,0,0,0,1,0,1,2,0
Protocol Buffer,0,1,0,0,0,2,7,18,14,15
XSLT,0,0,0,0,0,2,1,2,0,0
Scala,0,0,0,0,0,0,0,1,1,1
Swift,0,0,0,0,0,0,0,4,2,5
Lua,0,1,0,0,0,0,1,0,1,0
Dart,0,0,0,0,0,16,15,15,3,5
Assembly,0,0,0,0,0,2,5,7,3,3
M4,0,0,0,0,0,3,6,5,3,2
Objective-C++,0,0,0,0,0,1,4,9,5,4
Thrift,0,0,0,0,0,0,0,0,0,0
Roff,0,0,0,0,0,2,2,3,1,1
R,0,0,0,0,0,0,5,3,0,4
Clojure,0,0,0,0,0,0,2,2,0,0
Erlang,0,0,0,0,0,0,1,0,1,0
Puppet,0,0,0,0,0,0,0,1,0,0
Smarty,0,0,0,0,0,0,2,1,1,2
Emacs Lisp,0,0,0,0,0,0,2,7,2,0
Yacc,0,0,0,0,0,1,5,5,3,0
Rust,0,0,0,0,0,0,2,4,5,5
ApacheConf,0,0,0,0,0,0,0,2,0,0
Haskell,0,0,0,0,0,0,2,1,2,1
Kotlin,0,0,0,0,0,0,0,1,1,9
ASP,0,0,0,0,0,0,0,1,0,0
Lex,0,0,0,0,0,1,2,5,3,1
Vim script,0,0,0,0,0,2,1,7,2,0
GAP,0,0,0,0,0,1,1,2,0,0
Smalltalk,0,0,0,0,0,0,0,0,0,0
PLpgSQL,0,0,0,0,0,0,0,4,0,1
Visual Basic,0,0,0,0,0,0,2,5,0,0
GLSL,0,0,0,0,0,0,5,4,8,3
Jupyter Notebook,0,0,0,0,0,0,0,2,1,2
TeX,0,0,0,0,0,0,1,2,0,4
Awk,0,0,0,0,0,1,4,2,0,1
FreeMarker,0,0,0,0,0,0,0,0,0,0
Mako,0,0,0,0,0,1,1,0,0,0
Matlab,0,0,0,0,0,2,0,0,2,3
SQLPL,0,0,0,0,0,0,0,3,0,0
PLSQL,0,0,0,0,0,0,1,2,0,0
Prolog,0,0,0,0,0,1,1,1,0,1
VimL,0,0,0,0,0,0,2,2,1,0
Groff,0,0,0,0,0,0,1,3,0,0
Perl 6,0,0,0,0,0,1,0,1,1,1
F#,0,0,0,0,0,0,0,0,0,0
Nginx,0,0,0,0,0,0,0,2,0,1
ActionScript,0,0,0,0,0,0,0,2,1,0
Pascal,0,0,0,0,0,0,0,3,0,0
Tcl,0,0,0,0,0,0,0,0,0,0
HCL,0,0,0,0,0,0,0,0,0,0
ANTLR,0,0,0,0,0,0,0,0,0,0
OCaml,0,0,0,0,0,0,0,1,0,0
SourcePawn,0,0,0,0,0,1,2,2,2,0
Gherkin,0,0,0,0,0,0,0,1,0,0
PigLatin,0,0,0,0,0,0,0,0,0,0
Handlebars,0,0,0,0,0,0,0,1,0,0
IDL,0,0,0,0,0,0,0,0,0,0
