language_name,2008U,2008O,2009U,2009O,2010U,2010O,2011U,2011O,2012U,2012O,2013U,2013O,2014U,2014O,2015U,2015O,2016U,2016O,2017U,2017O
CSS,0,1,1,20,6,21,15,46,16,90,53,189,101,232,97,229,8,79,2,32
JavaScript,5,2,13,22,43,22,78,58,136,121,345,313,709,363,720,411,58,149,14,69
Shell,1,2,4,49,9,29,12,68,23,117,36,215,57,318,52,343,6,157,2,80
HTML,1,3,2,34,5,24,9,61,18,83,32,147,92,231,127,312,12,110,5,51
PostScript,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0
CoffeeScript,0,1,1,0,1,0,3,2,7,8,19,109,14,46,11,21,1,1,0,0
Ruby,23,15,16,25,17,24,28,34,23,55,15,87,12,93,31,124,0,28,1,9
null,0,1,3,23,6,11,10,26,18,19,41,33,191,68,20,54,2,35,1,11
ApacheConf,0,0,0,3,2,3,0,0,0,0,0,2,1,5,2,10,0,0,0,0
Python,0,0,6,18,8,15,14,57,24,55,27,125,28,183,26,241,5,95,3,85
PowerShell,0,0,0,3,0,1,0,2,0,3,0,7,2,22,2,55,0,4,1,1
Makefile,1,0,2,12,6,8,6,22,9,28,7,50,20,130,42,173,6,70,3,33
ActionScript,0,0,0,1,1,0,1,3,0,1,0,0,2,1,0,2,0,1,0,0
C,0,0,3,8,5,5,5,9,5,21,4,39,13,104,21,159,2,44,1,29
PHP,1,0,2,5,4,3,3,5,1,15,4,22,12,39,5,55,1,14,0,2
Erlang,0,0,0,1,0,1,0,0,1,0,1,0,3,23,0,4,0,1,0,0
LiveScript,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0
Perl,0,0,1,9,1,6,2,4,1,8,1,14,5,21,3,26,0,8,0,6
Rust,0,0,0,1,0,0,0,1,0,0,1,1,2,2,1,9,0,7,0,5
R,0,0,0,0,0,1,0,1,0,3,0,2,3,8,0,13,0,3,0,4
Java,0,0,1,43,5,14,7,70,4,80,9,151,26,183,21,219,3,63,1,43
Scala,0,0,0,1,1,6,0,7,0,11,1,9,2,18,0,15,0,6,1,1
Thrift,0,0,0,4,0,1,0,4,0,9,0,5,0,11,0,9,0,3,0,0
Mako,0,0,0,1,0,0,0,1,0,0,0,2,0,5,0,6,0,1,0,0
FreeMarker,0,0,0,2,0,1,0,3,0,3,0,4,0,3,0,5,0,2,0,0
Batchfile,0,0,0,22,2,6,0,14,2,27,0,21,0,51,6,106,0,17,0,4
XSLT,0,0,0,17,0,7,0,12,0,10,0,16,0,20,0,17,0,1,0,0
Jupyter Notebook,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,5,0,6
Kotlin,0,0,0,0,0,0,0,0,0,1,1,3,1,2,1,4,1,2,0,10
Objective-C,0,0,0,3,1,1,4,3,3,10,0,38,1,52,5,103,0,26,3,9
Protocol Buffer,0,0,0,3,0,0,0,2,0,3,0,7,8,13,7,29,1,15,0,16
Groovy,0,0,0,8,0,3,0,8,1,13,4,19,6,27,1,34,0,6,0,0
Cucumber,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,2,0,0,0,0
Groff,0,0,0,0,0,0,0,1,1,1,1,0,0,2,3,8,0,0,0,0
Dart,0,0,0,1,0,0,0,0,0,0,0,16,1,16,0,17,0,9,0,5
Haskell,0,0,1,3,1,1,0,0,0,1,1,2,1,8,0,3,0,4,0,1
Clojure,0,0,0,0,0,0,0,0,0,2,0,5,9,8,7,6,0,0,0,0
HCL,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,1,0,1
ASP,0,0,0,1,0,2,0,4,2,3,0,3,0,2,0,9,0,1,0,0
Assembly,0,0,0,0,1,0,1,0,1,2,0,6,1,19,0,21,0,3,0,3
Awk,0,0,0,0,0,0,1,0,0,2,0,3,0,6,1,6,0,2,0,1
C++,0,0,1,8,2,3,5,8,5,16,3,64,8,100,16,165,3,49,0,35
Scilab,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0
TeX,0,0,0,2,0,2,0,0,0,0,2,2,2,2,2,3,0,1,0,4
UnrealScript,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0
VimL,0,0,1,0,0,0,0,0,2,0,2,1,0,3,2,3,0,1,0,0
CMake,0,0,0,2,0,0,0,0,0,5,0,6,1,32,5,47,0,17,0,19
Go,0,0,0,2,1,0,0,2,1,2,2,24,6,72,11,114,0,62,0,42
Lex,0,0,0,2,0,0,1,0,0,1,0,2,0,4,0,9,0,3,0,1
Visual Basic,0,0,0,1,0,0,0,1,0,2,0,0,1,2,0,16,0,0,0,0
DTrace,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0
GAP,0,0,0,4,0,0,0,2,0,3,0,1,0,5,0,7,0,1,0,0
Lua,0,0,0,2,0,1,0,1,3,0,1,0,3,5,20,17,2,3,0,0
M4,0,0,0,4,0,2,0,1,0,5,0,7,0,13,0,10,0,6,0,2
Pascal,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,4,0,1,0,0
Yacc,0,1,0,1,0,0,1,1,0,0,1,3,0,8,2,9,0,4,0,0
PLSQL,0,0,0,0,0,0,0,1,0,3,0,2,0,5,0,6,0,0,0,0
Roff,1,0,0,3,1,1,1,1,0,4,0,7,0,4,0,12,0,2,1,1
TypeScript,0,0,0,0,0,0,1,2,0,0,0,7,4,14,3,64,2,39,0,14
Gherkin,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0
Tcl,0,0,1,1,0,0,1,0,0,0,1,0,1,2,1,4,0,0,0,0
Smarty,0,0,1,1,0,1,0,1,0,7,0,1,0,6,1,8,0,2,0,3
Puppet,0,0,0,0,0,0,0,2,0,9,2,8,0,6,0,2,0,2,0,0
